"speciesRus","speciesLat","observationsNumber","individualsNumber","individualsPerObservation","speciesShare"
"Кедровка","Nucifraga caryocatactes",1,1,1,2.90317898098418e-05
"Ласточка деревенская","Hirundo rustica",1,1,1,2.90317898098418e-05
"Лунь полевой","Circus cyaneus",1,1,1,2.90317898098418e-05
"Пищуха короткопалая","Certhia brachydactyla",1,1,1,2.90317898098418e-05
"Подорлик малый","Aquila pomarina",1,1,1,2.90317898098418e-05
"Пустельга обыкновенная","Falco tinnunculus",1,1,1,2.90317898098418e-05
"Славка-завирушка","Sylvia curruca",1,1,1,2.90317898098418e-05
"Снегирь обыкновенный","Pyrrhula pyrrhula",1,1,1,2.90317898098418e-05
"Сыч домовый","Athene noctua",1,1,1,2.90317898098418e-05
"Турухтан","Philomachus pugnax",1,1,1,2.90317898098418e-05
"Чеглок","Falco subbuteo",1,1,1,2.90317898098418e-05
